"BT01_F01_S3_W17","BT01_F01_S4_W17","BT01_F02_S3_W17","BT01_F02_S4_W17","BT01_F03_S3_W17","BT01_F03_S4_W17","BT01_F04_S3_W17","BT01_F04_S4_W17","BT01_F05_S3_W17","BT01_F05_S4_W17","BT01_F06_S3_W17","BT01_F06_S4_W17","BT01_F07_S4_W17","BT01_F08_S3_W17","BT01_F08_S4_W17","BT01_F09_S3_W17","BT01_F09_S4_W17","BT01_F10_S3_W17","BT01_F10_S4_W17","BT01_F11_S3_W17","BT01_F11_S4_W17","BT01_F12_S3_W17","BT01_F12_S4_W17","BT01_F13_S3_W17","BT01_F13_S4_W17","BT01_F14_S3_W17","BT01_F14_S4_W17","BT01_F15_S4_W17","BT01_F16_S3_W17","BT01_F16_S4_W17","BT01_F17_S3_W17","BT01_F17_S4_W17","BT01_F18_S3_W17","BT01_F18_S4_W17","BT01_F19_S3_W17","BT01_F19_S4_W17","BT01_F20_S3_W17","BT01_F20_S4_W17","BT01_F21_S3_W17","BT01_F21_S4_W17","BT01_F22_S3_W17","BT01_F22_S4_W17","BT01_F23_S4_W17","BT01_F24_S3_W17","BT01_F24_S4_W17","BT01_F25_S3_W17","BT01_F25_S4_W17","BT01_F26_S3_W17","BT01_F26_S4_W17","BT01_F27_S3_W17","BT01_F27_S4_W17","BT01_F28_S3_W17","BT01_F28_S4_W17","BT01_F29_S3_W17","BT01_F29_S4_W17","BT01_F30_S3_W17","BT01_F30_S4_W17","BT01_F31_S4_W17","BT01_F32_S3_W17","BT01_F32_S4_W17","BT01_F33_S3_W17","BT01_F33_S4_W17","BT01_F34_S3_W17","BT01_F34_S4_W17","BT01_F35_S3_W17","BT01_F35_S4_W17","BT01_F36_S3_W17","BT01_F36_S4_W17","BT01_F37_S3_W17","BT01_F37_S4_W17","BT01_F38_S3_W17","BT01_F38_S4_W17","BT01_F39_S4_W17","BT01_F40_S3_W17","BT01_F40_S4_W17","Ctrl_Feed_1","Ctrl_Feed_2","Ctrl_Feed_3","ET01_F01_S3_W17","ET01_F01_S4_W17","ET01_F02_S3_W17","ET01_F02_S4_W17","ET01_F03_S3_W17","ET01_F03_S4_W17","ET01_F04_S3_W17","ET01_F04_S4_W17","ET01_F05_S3_W17","ET01_F06_S3_W17","ET01_F06_S4_W17","ET01_F07_S3_W17","ET01_F07_S4_W17","ET01_F08_S3_W17","ET01_F08_S4_W17","ET01_F09_S3_W17","ET01_F09_S4_W17","ET01_F10_S3_W17","ET01_F10_S4_W17","ET01_F11_S3_W17","ET01_F11_S4_W17","ET01_F12_S3_W17","ET01_F12_S4_W17","ET01_F13_S3_W17","ET01_F14_S3_W17","ET01_F14_S4_W17","ET01_F15_S3_W17","ET01_F15_S4_W17","ET01_F16_S3_W17","ET01_F16_S4_W17","ET01_F17_S3_W17","ET01_F17_S4_W17","ET01_F18_S3_W17","ET01_F18_S4_W17","ET01_F19_S3_W17","ET01_F19_S4_W17","ET01_F20_S3_W17","ET01_F20_S4_W17","ET01_F21_S3_W17","ET01_F22_S3_W17","ET01_F22_S4_W17","ET01_F23_S3_W17","ET01_F23_S4_W17","ET01_F24_S3_W17","ET01_F24_S4_W17","ET01_F25_S3_W17","ET01_F25_S4_W17","ET01_F26_S3_W17","ET01_F26_S4_W17","ET01_F27_S3_W17","ET01_F27_S4_W17","ET01_F28_S3_W17","ET01_F28_S4_W17","ET01_F29_S3_W17","ET01_F30_S3_W17","ET01_F30_S4_W17","ET01_F31_S3_W17","ET01_F31_S4_W17","ET01_F32_S3_W17","ET01_F32_S4_W17","ET01_F33_S3_W17","ET01_F33_S4_W17","ET01_F34_S3_W17","ET01_F34_S4_W17","ET01_F35_S3_W17","ET01_F35_S4_W17","ET01_F36_S3_W17","ET01_F36_S4_W17","ET01_F37_S3_W17","ET01_F38_S3_W17","ET01_F38_S4_W17","ET01_F39_S3_W17","ET01_F39_S4_W17","ET01_F40_S3_W17","ET01_F40_S4_W17","Extraction_Neg1","Extraction_Neg2","Extraction_Neg3","Extraction_Neg4","Extraction_Neg5","Extraction_Neg6","Extraction_Neg7","Extraction_Neg8","Lib_Blk_1","Lib_Blk_10","Lib_Blk_2","Lib_Blk_3","Lib_Blk_4","Lib_Blk_5","Lib_Blk_6","Lib_Blk_7","Lib_Blk_8","Lib_Blk_9","PCR_Blk_1","PCR_Blk_10","PCR_Blk_2","PCR_Blk_3","PCR_Blk_4","PCR_Blk_5","PCR_Blk_6","PCR_Blk_8","PCR_Blk_9","Pro_Feed_1","Pro_Feed_2","Pro_Feed_3","Syn_Feed_1","Syn_Feed_2","Syn_Feed_3","Water_sample_1","Water_sample_2","Water_sample_3","Water_sample_4","Water_sample_5","ZT01_F01_S3_W17","ZT01_F01_S4_W17","ZT01_F02_S4_W17","ZT01_F03_S3_W17","ZT01_F03_S4_W17","ZT01_F04_S3_W17","ZT01_F04_S4_W17","ZT01_F05_S3_W17","ZT01_F05_S4_W17","ZT01_F06_S3_W17","ZT01_F06_S4_W17","ZT01_F07_S3_W17","ZT01_F07_S4_W17","ZT01_F08_S3_W17","ZT01_F08_S4_W17","ZT01_F09_S3_W17","ZT01_F09_S4_W17","ZT01_F10_S4_W17","ZT01_F11_S3_W17","ZT01_F11_S4_W17","ZT01_F12_S3_W17","ZT01_F12_S4_W17","ZT01_F13_S3_W17","ZT01_F13_S4_W17","ZT01_F14_S3_W17","ZT01_F14_S4_W17","ZT01_F15_S3_W17","ZT01_F15_S4_W17","ZT01_F16_S3_W17","ZT01_F16_S4_W17","ZT01_F17_S3_W17","ZT01_F17_S4_W17","ZT01_F18_S4_W17","ZT01_F19_S3_W17","ZT01_F19_S4_W17","ZT01_F20_S3_W17","ZT01_F20_S4_W17","ZT01_F21_S3_W17","ZT01_F21_S4_W17","ZT01_F22_S3_W17","ZT01_F22_S4_W17","ZT01_F23_S3_W17","ZT01_F23_S4_W17","ZT01_F24_S3_W17","ZT01_F24_S4_W17","ZT01_F25_S3_W17","ZT01_F25_S4_W17","ZT01_F26_S4_W17","ZT01_F27_S3_W17","ZT01_F27_S4_W17","ZT01_F28_S3_W17","ZT01_F28_S4_W17","ZT01_F29_S3_W17","ZT01_F29_S4_W17","ZT01_F30_S3_W17","ZT01_F30_S4_W17","ZT01_F31_S3_W17","ZT01_F31_S4_W17","ZT01_F32_S3_W17","ZT01_F32_S4_W17","ZT01_F33_S3_W17","ZT01_F33_S4_W17","ZT01_F34_S4_W17","ZT01_F35_S3_W17","ZT01_F35_S4_W17","ZT01_F36_S3_W17","ZT01_F36_S4_W17","ZT01_F37_S3_W17","ZT01_F37_S4_W17","ZT01_F38_S3_W17","ZT01_F38_S4_W17","ZT01_F39_S3_W17","ZT01_F39_S4_W17","ZT01_F40_S3_W17","ZT01_F40_S4_W17"
"ASV_1",773,5046,4098,96,3490,5511,0,0,100,722,216,90,220,228,8846,373,0,1244,406,381,3580,71,540,1287,1177,539,1095,54,604,5776,0,1756,11930,1169,2203,470,81058,8276,521,0,2508,2485,793,3615,3881,6377,4137,4070,1941,7392,10554,47707,618,3019,3179,3720,3459,5296,2324,27807,4976,3228,18,446,1216,287,10436,762,2211,157,1554,3956,398,269,2907,25627,17427,2786,255867,26363,169299,63540,112749,165223,96432,122390,12024,118136,199933,118369,155193,206350,146604,63361,166763,49027,97451,108795,236081,116081,105311,134557,188994,128309,76737,107329,25064,48929,87799,73489,35754,126729,44035,12406,929,26323,26555,244112,80852,74823,33055,88803,80423,119725,63070,140989,52050,232933,61169,1646,249582,416001,48399,49151,20696,55906,72304,53698,9044,34575,71022,7404,134637,49147,56196,89628,57176,176980,16448,79504,285904,197492,129499,4486,74826,30454,6100,537,70,843,2702,3001,0,1935,682,36154,4649,11594,333,3280,2503,14446,7832,4317,3412,3815,218,2183,484,1449,51729,13018,87774,11433,3880,21091,2061,3842,6161,4706,24632,43124,2635,25786,3380,5503,1850,1284,1167,1771,1538,1275,27147,1504,3593,2534,1007,0,3543,4182,2606,26973,32128,1443,602,12323,2557,45728,100,123,66,2957,1041,178,2813,1390,747,1177,997,3415,3875,193,2050,4422,1156,536,3367,72292,2262,443,3103,14742,8495,1633,355,53866,89088,23667,254369,247,3753,629,33482,228,508,96,64229,651,17157,555,1967,3709,0,1604,463,1568
"ASV_10",264,79,47,78,349,10,7,0,201,1113,0,48,14,0,14,12,0,102,28,0,0,0,0,0,20,207,657,667,0,14,0,4,19,11,66,58,69,67,16,0,3958,34,982,11,177,163,0,154,0,37,405,12,12,8460,23,543,57,442,24,691,312,0,3,0,4909,636,18,0,0,0,0,14,0,0,739,16946,6400,3767,347,78,52,9143,501,52,45,7,5,49,61,0,0,23,14,146,57,7,0,98,55,15,2903,5,94,28,110,35,25,0,9,0,52,102,3,0,50,46,18,0,98,61,116,0,24,27,155,32,6,0,4324,26,202,0,9569,6,0,0,60,7,0,368,0,6,21,56,264,457,14,7327,561,0,95,634,131,8063,2293,513,617,77,89,435,55,0,0,13,0,10151,10,1,57,0,9,10512,186,14,15,53,0,3,188,155,6779,9748,4359,1794,6239,2624,7898,9581,9375,482,9896,16,0,8298,156,0,419,7122,60,105,368,6935,95,27,65,38,50,29,26,28,50,256,197,0,0,16,34,221,0,0,0,788,175,307,18,0,16,30,796,0,0,0,0,4038,0,172,0,38,213,13,11,0,33,155,0,189,13,36,214,0,42,87,180,11,268,8,11,0,38,242,0,546,0,124,0,40
"ASV_100",0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,16,0,0,0,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,17,0,19,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,31,23,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,7,17,0,0,67,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,10,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,18,13,0,0,4,0,0,0,0,0,0,0,1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,30,0,2728,8,0,0,0,0,0,0,159,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"ASV_10036",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10037",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_10042",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
