"Kingdom","Phylum","Class","Order","Family","Genus"
"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae","Mycoplasma"
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"Bacteria","Firmicutes","Bacilli","Bacillales","Family_XI","Gemella"
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA
"Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae",NA
"Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae",NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"Bacteria","Proteobacteria","Alphaproteobacteria",NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
NA,NA,NA,NA,NA,NA
"Bacteria","Firmicutes",NA,NA,NA,NA
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Psychrilyobacter"
"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
"Bacteria","Firmicutes","Bacilli","Lactobacillales",NA,NA
"Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus"
"Bacteria","Cyanobacteria","Oxyphotobacteria",NA,NA,NA
"Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae",NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales",NA,NA
"Eukaryota","Euglenozoa","Euglenida","Aphagea","Aphagea_fa","Distigma"
"Bacteria","Bacteroidetes","Bacteroidia","Cytophagales",NA,NA
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter"
"Bacteria","Epsilonbacteraeota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter"
"Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Peptostreptococcus"
"Bacteria","Tenericutes","Mollicutes","Mycoplasmatales","Mycoplasmataceae",NA
"Bacteria",NA,NA,NA,NA,NA
"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales",NA,NA
"Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Saccharimonadaceae",NA
"Bacteria","Patescibacteria","Microgenomatia","Candidatus_Pacebacteria",NA,NA
"Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Capnocytophaga"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI","Gallicola"
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XIII",NA
"Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20",NA
"Eukaryota","Vertebrata",NA,NA,NA,NA
"Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Parasediminibacterium"
"Bacteria","Proteobacteria","Alphaproteobacteria","Holosporales","Holosporaceae","Holospora"
"Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA
"Bacteria","Firmicutes","Clostridia","Clostridiales","Family_XI",NA
"Bacteria",NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae",NA
"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides"
"Bacteria","Bacteroidetes","Bacteroidia",NA,NA,NA
"Eukaryota",NA,NA,NA,NA,NA
"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Mitochondria",NA
