dada2_input	filtered	dada_f	dada_r	merged	nonchim	final_perc_reads_retained
BT01_F01_S3_W17	35798	35307	35101	35205	35012	34296	95.8
BT01_F01_S4_W17	8809	8642	8568	8577	8507	8276	93.9
BT01_F02_S3_W17	33052	32571	32438	32454	32340	30307	91.7
BT01_F02_S4_W17	27722	27358	27311	27288	27244	26656	96.2
BT01_F03_S3_W17	101344	100223	100076	100097	99962	94189	92.9
BT01_F03_S4_W17	7955	7724	7709	7714	7701	7648	96.1
BT01_F04_S3_W17	7918	7776	7765	7763	7755	7506	94.8
BT01_F04_S4_W17	6403	6296	6278	6275	6262	6190	96.7
BT01_F05_S3_W17	312309	307024	306867	306682	306527	300763	96.3
BT01_F05_S4_W17	124917	122286	122010	121912	121652	112099	89.7
BT01_F06_S3_W17	3395	3320	3265	3289	3236	3087	90.9
BT01_F06_S4_W17	26559	25701	25640	25580	25527	24723	93.1
BT01_F07_S4_W17	20151	19911	19867	19848	19814	18889	93.7
BT01_F08_S3_W17	16192	15911	15892	15888	15873	15631	96.5
BT01_F08_S4_W17	146982	144238	144133	144144	144047	142034	96.6
BT01_F09_S3_W17	26617	26356	26272	26319	26244	25703	96.6
BT01_F09_S4_W17	839	812	778	800	771	767	91.4
BT01_F10_S3_W17	68729	66307	66089	66204	65993	64445	93.8
BT01_F10_S4_W17	3386	3283	3263	3237	3223	3165	93.5
BT01_F11_S3_W17	8208	7987	7929	7928	7875	7671	93.5
BT01_F11_S4_W17	15611	15411	15392	15384	15368	14830	95
BT01_F12_S3_W17	3234	3160	3147	3124	3112	2985	92.3
BT01_F12_S4_W17	10151	9853	9797	9828	9776	9685	95.4
BT01_F13_S3_W17	10249	10074	10049	10056	10035	9894	96.5
BT01_F13_S4_W17	7012	6842	6794	6805	6762	6616	94.4
BT01_F14_S3_W17	26667	26293	26258	26170	26145	25646	96.2
BT01_F14_S4_W17	75813	75111	74958	75001	74861	70977	93.6
BT01_F15_S4_W17	45778	45218	45057	45105	44951	42714	93.3
BT01_F16_S3_W17	29115	28178	28033	28113	27971	27220	93.5
BT01_F16_S4_W17	42239	41151	41068	40998	40928	39738	94.1
BT01_F17_S3_W17	5954	5822	5745	5797	5726	5335	89.6
BT01_F17_S4_W17	5876	5816	5753	5757	5698	5368	91.4
BT01_F18_S3_W17	17737	17573	17444	17468	17352	16613	93.7
BT01_F18_S4_W17	15814	15585	15543	15496	15457	14865	94
BT01_F19_S3_W17	28342	27979	27953	27918	27895	27226	96.1
BT01_F19_S4_W17	23784	23522	23418	23418	23322	21929	92.2
BT01_F20_S3_W17	148808	146455	146327	146337	146227	142772	95.9
BT01_F20_S4_W17	35320	34847	34738	34750	34645	31711	89.8
BT01_F21_S3_W17	30508	29959	29826	29864	29733	29188	95.7
BT01_F21_S4_W17	32452	31961	31916	31876	31833	31402	96.8
BT01_F22_S3_W17	89341	87382	87061	87018	86720	82539	92.4
BT01_F22_S4_W17	25879	25500	25361	25427	25299	24585	95
BT01_F23_S4_W17	58043	57306	57107	57035	56862	52871	91.1
BT01_F24_S3_W17	11954	11823	11766	11778	11727	11460	95.9
BT01_F24_S4_W17	85725	84481	84295	84410	84230	82879	96.7
BT01_F25_S3_W17	20364	20060	20001	19997	19948	19504	95.8
BT01_F25_S4_W17	22495	21715	21660	21628	21579	21439	95.3
BT01_F26_S3_W17	33075	32592	32463	32484	32368	30119	91.1
BT01_F26_S4_W17	16367	15864	15804	15818	15766	15389	94
BT01_F27_S3_W17	16652	16435	16332	16345	16248	15854	95.2
BT01_F27_S4_W17	32347	31856	31730	31722	31612	30463	94.2
BT01_F28_S3_W17	86228	84751	84604	84667	84525	83010	96.3
BT01_F28_S4_W17	10842	10721	10681	10693	10662	10274	94.8
BT01_F29_S3_W17	128467	125148	124612	124940	124428	120711	94
BT01_F29_S4_W17	11091	10975	10892	10924	10846	10442	94.1
BT01_F30_S3_W17	94390	91726	91566	91504	91359	88485	93.7
BT01_F30_S4_W17	127173	125681	125435	125592	125349	113847	89.5
BT01_F31_S4_W17	112330	110097	109985	109973	109867	105689	94.1
BT01_F32_S3_W17	24495	24154	23990	24043	23893	23043	94.1
BT01_F32_S4_W17	55546	54952	54878	54924	54856	54315	97.8
BT01_F33_S3_W17	73923	73039	72877	72919	72769	69624	94.2
BT01_F33_S4_W17	9570	9293	9264	9233	9209	9049	94.6
BT01_F34_S3_W17	7236	7119	7110	7087	7083	7037	97.2
BT01_F34_S4_W17	11191	10832	10743	10741	10658	10346	92.4
BT01_F35_S3_W17	81096	79793	79441	79521	79182	71326	88
BT01_F35_S4_W17	83714	82358	82206	82190	82049	80507	96.2
BT01_F36_S3_W17	57690	56297	56134	56144	55995	54012	93.6
BT01_F36_S4_W17	14812	14627	14591	14565	14539	14355	96.9
BT01_F37_S3_W17	8610	8348	8330	8312	8299	8027	93.2
BT01_F37_S4_W17	2181	2126	2070	2106	2056	1979	90.7
BT01_F38_S3_W17	30293	29883	29760	29840	29728	29098	96.1
BT01_F38_S4_W17	10972	10844	10758	10812	10737	10353	94.4
BT01_F39_S4_W17	5516	5314	5260	5287	5238	4996	90.6
BT01_F40_S3_W17	27842	27465	27384	27402	27332	25727	92.4
BT01_F40_S4_W17	80646	79780	79592	79714	79537	75399	93.5
Ctrl_Feed_1	138849	136651	136069	136117	135555	118530	85.4
Ctrl_Feed_2	73835	72723	72420	72467	72182	68119	92.3
Ctrl_Feed_3	65313	64260	63850	64047	63660	55528	85
ET01_F01_S3_W17	315468	307572	307441	307441	307322	304374	96.5
ET01_F01_S4_W17	39252	38648	38560	38574	38491	36891	94
ET01_F02_S3_W17	186434	181380	181226	181228	181087	179660	96.4
ET01_F02_S4_W17	118228	117036	116582	116732	116295	102692	86.9
ET01_F03_S3_W17	123580	122061	121958	121965	121871	120932	97.9
ET01_F03_S4_W17	185031	183075	182826	182904	182670	179391	97
ET01_F04_S3_W17	102586	100116	100054	100071	100019	99503	97
ET01_F04_S4_W17	131373	129669	129599	129614	129550	127979	97.4
ET01_F05_S3_W17	12745	12511	12497	12480	12472	12408	97.4
ET01_F06_S3_W17	126485	125025	124945	124912	124840	124123	98.1
ET01_F06_S4_W17	212425	207938	207876	207837	207777	206451	97.2
ET01_F07_S3_W17	122868	121312	121247	121248	121190	120856	98.4
ET01_F07_S4_W17	161392	157256	157199	157213	157164	156831	97.2
ET01_F08_S3_W17	226120	221823	221693	221226	221106	219593	97.1
ET01_F08_S4_W17	160489	156994	156875	156907	156796	155771	97.1
ET01_F09_S3_W17	74565	73636	73525	73554	73449	72603	97.4
ET01_F09_S4_W17	189791	187296	187111	187126	186943	183026	96.4
ET01_F10_S3_W17	63927	63192	63132	63097	63043	62442	97.7
ET01_F10_S4_W17	157493	153518	153429	153315	153227	148541	94.3
ET01_F11_S3_W17	118711	116493	116456	116424	116390	115868	97.6
ET01_F11_S4_W17	257295	251400	251324	251316	251249	250460	97.3
ET01_F12_S3_W17	162675	161031	160896	160691	160562	158610	97.5
ET01_F12_S4_W17	153001	151176	150735	150889	150474	146655	95.9
ET01_F13_S3_W17	142358	139096	139056	139040	139006	138280	97.1
ET01_F14_S3_W17	199051	196648	196558	196586	196505	195471	98.2
ET01_F14_S4_W17	143256	141710	141605	141563	141464	140594	98.1
ET01_F15_S3_W17	81873	80836	80739	80744	80660	80257	98
ET01_F15_S4_W17	125483	123678	123532	123561	123432	120256	95.8
ET01_F16_S3_W17	45716	45107	45044	45086	45023	44578	97.5
ET01_F16_S4_W17	88031	86770	86598	86671	86506	84758	96.3
ET01_F17_S3_W17	92269	89585	89524	89569	89513	89280	96.8
ET01_F17_S4_W17	78998	76971	76913	76953	76899	76719	97.1
ET01_F18_S3_W17	47428	46740	46633	46703	46607	45046	95
ET01_F18_S4_W17	152114	148506	148376	148232	148107	144912	95.3
ET01_F19_S3_W17	64493	63382	63338	63321	63282	62746	97.3
ET01_F19_S4_W17	20347	20072	20039	20046	20020	19802	97.3
ET01_F20_S3_W17	24049	23735	23587	23712	23567	22832	94.9
ET01_F20_S4_W17	53617	53110	52964	53047	52915	51642	96.3
ET01_F21_S3_W17	67292	66506	66436	66314	66253	61244	91
ET01_F22_S3_W17	254805	247988	247895	247901	247826	247243	97
ET01_F22_S4_W17	118788	116213	116066	116001	115860	113170	95.3
ET01_F23_S3_W17	89732	88107	87934	87986	87835	87194	97.2
ET01_F23_S4_W17	41221	40684	40619	40580	40522	40089	97.3
ET01_F24_S3_W17	93325	90832	90750	90775	90702	90480	97
ET01_F24_S4_W17	88886	87916	87844	87863	87794	87253	98.2
ET01_F25_S3_W17	294470	291570	291451	291452	291340	280375	95.2
ET01_F25_S4_W17	88850	87845	87708	87775	87652	86269	97.1
ET01_F26_S3_W17	148004	146455	146353	146392	146289	145454	98.3
ET01_F26_S4_W17	58038	56825	56780	56784	56741	56188	96.8
ET01_F27_S3_W17	244942	237970	237883	237841	237762	236906	96.7
ET01_F27_S4_W17	98771	97432	97150	97226	96963	90730	91.9
ET01_F28_S3_W17	25323	24905	24844	24840	24789	24204	95.6
ET01_F28_S4_W17	302394	298636	298528	298454	298349	295980	97.9
ET01_F29_S3_W17	426960	421462	420829	421406	420781	419832	98.3
ET01_F30_S3_W17	145290	142673	142141	142399	141871	126837	87.3
ET01_F30_S4_W17	53368	52706	52678	52670	52643	52462	98.3
ET01_F31_S3_W17	23285	22819	22753	22770	22713	22508	96.7
ET01_F31_S4_W17	62167	60702	60616	60632	60552	59770	96.1
ET01_F32_S3_W17	77718	76882	76800	76628	76551	76171	98
ET01_F32_S4_W17	57246	56391	56297	56332	56245	55907	97.7
ET01_F33_S3_W17	9619	9416	9386	9396	9378	9333	97
