name,mz,rt,Annotation.type,annotated.from.ID,annotated.from.peak,ID,compound.name,isotope,adduct,Formula,score,peak.group,confidence
121946,129.093,950.6358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146712,136.895,336.5291,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120949,146.694,676.0805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5260,146.165,437.9703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113930,147.017,1353.1862,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131393,149.545,423.8372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94092,149.026,992.031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126538,153.806,286.1644,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2213,154.086,1144.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,155.046,858.6899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97428,156.946,296.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
607,157.989,462.2197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116670,159.052,993.5879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93679,159.088,1226.587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25924,159.634,286.138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80603,160.056,451.8163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87051,160.074,225.9605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39922,160.031,297.317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112232,160.181,284.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14864,161.077,305.5543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146409,161.603,354.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7464,163.079,659.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
149276,163.291,302.2502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95987,164.038,1095.3333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116930,164.13,738.1564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119392,165.994,1465.0696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79590,167.075,753.0566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52177,170.134,292.5123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64394,170.111,1302.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146400,172.014,1048.6719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85856,172.029,1020.2352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85384,171.993,1638.1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96879,171.993,899.1333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124730,172.133,153.569,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36172,172.139,1661.3533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105244,172.17,1060.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137931,173.082,911.4699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64296,173.116,1047.0285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48348,173.121,543.5985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121402,173.113,652.6829,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121196,173.117,1506.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94398,173.117,461.8473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119619,173.994,1075.8396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16031,173.997,1004.0183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99607,175.031,1120.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52382,175.041,1673.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124733,176.974,1038.2884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81133,176.972,284.9797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117963,177.077,1095.4314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57129,177.048,861.5725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119390,177.02,275.984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61369,177.091,1286.2115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
94425,177.109,877.9535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138037,177.104,342.3693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65716,177.957,572.9445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126481,179.081,248.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104434,179.107,1232.7143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122526,180.118,281.9897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118035,180.981,955.6405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126559,181.068,175.108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122046,181.038,213.154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85433,181.122,957.2537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37106,181.125,1442.6332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
110738,182.044,422.9315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80145,182.053,298.0525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124399,182.999,316.5962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120964,183.048,344.632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75586,183.102,850.8615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86134,183.13,1006.3841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97197,183.102,148.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120292,184.193,430.672,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119477,183.151,251.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115828,184.118,413.7937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
147029,185.15,571.6727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134615,185.117,788.0269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88894,185.144,1105.0967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120820,185.117,547.0795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70092,185.166,527.5267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85099,185.172,882.3583,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40539,185.154,494.5973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87133,185.984,1388.7097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53817,185.989,1525.4965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57352,185.983,147.0945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81333,186.076,797.2235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100481,186.647,283.5518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97055,186.956,1624.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81790,187.054,1381.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41921,187.044,1026.4713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18917,187.058,1596.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79613,187.124,1019.8078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
