name,mz,rt,CTRL-T01_F01,CTRL-T01_F01_2,CTRL-T01_F04,CTRL-T01_F04_2,CTRL-T01_F05,CTRL-T01_F05_2,CTRL-T01_F11,CTRL-T01_F11_2,CTRL-T01_F15,CTRL-T01_F15_2,CTRL-T01_F17,CTRL-T01_F17_2,CTRL-T01_F23,CTRL-T01_F23_2,CTRL-T01_F26,CTRL-T01_F26_2,CTRL-T01_F33,CTRL-T01_F33_2,CTRL-T01_F38,CTRL-T01_F38_2,PRO-T01_F02,PRO-T01_F02_2,PRO-T01_F07,PRO-T01_F07_2,PRO-T01_F08,PRO-T01_F08_2,PRO-T01_F17,PRO-T01_F17_2,PRO-T01_F19,PRO-T01_F19_2,PRO-T01_F20,PRO-T01_F20_2,PRO-T01_F28,PRO-T01_F28_2,PRO-T01_F31,PRO-T01_F31_2,PRO-T01_F35,PRO-T01_F35_2,PRO-T01_F39,PRO-T01_F39_2,SYN-T01_F01,SYN-T01_F01_2,SYN-T01_F02,SYN-T01_F02_2,SYN-T01_F09,SYN-T01_F09_2,SYN-T01_F12,SYN-T01_F12_2,SYN-T01_F17,SYN-T01_F17_2,SYN-T01_F22,SYN-T01_F22_2,SYN-T01_F31,SYN-T01_F31_2,SYN-T01_F33,SYN-T01_F33_2,SYN-T01_F35,SYN-T01_F35_2,SYN-T01_F37,SYN-T01_F37_2
121946,129.093,950.6358261,4448200,6589170,19405760,7625960,7405250,8418750,2340290,12193280,3574280,0,2170550,13735870,4881630,1312670,0,13160740,0,0,6094750,13779440,1995630,8505600,2416790,3043540,0,0,13949120,7951730,3070660,2113530,0,0,0,0,15205650,10853890,2024420,1818110,1883790,0,12146410,1667490,1369310,10511990,0,1644100,2214370,1779280,6553710,1763950,11723700,33836110,2149680,11071560,7644820,8871854,9344820,2548580,6062980,3115860
146712,136.895,336.5291429,900767,763115,1263560,1031590,3230820,1343280,2250230,836420,1675620,1989050,1701750,1697150,994855,921256,2424110,1847780,2357730,1644540,626720,1043830,1399940,5929190,592283,605452,2411980,1036580,1247050,924411,1322490,817536,632501,1213030,1016430,1129090,956629,2442680,2565350,3060890,3578050,1362530,601861,528313,382109,1770710,1147350,2151760,845446,2646750,2450560,1083090,1864610,924103,1336390,2933320,1634050,1260320,1673310,1707850,448557,751262
120949,146.694,676.0805,50840000,10889700,76528020,75537070,25839560,42622460,102053400,55582200,37016080,106308120,59795620,39423010,23257980,36622470,11559730,12623890,10450260,154215910,5834020,6379310,33837000,43403780,67830820,5907850,0,215659720,13643540,120965200,0,14479610,7954920,13100380,1407130,8685210,48956680,3971960,10789030,9810890,25620520,25540200,28692280,8049660,19669970,4611040,126543130,34336620,0,1411020,85238240,76598940,13509340,51406830,43215680,7480170,6760900,3817290,3987400,23458420,0,11971150
5260,146.165,437.9703235,7906540,26305600,0,0,38339940,34206420,41455060,0,37462600,37589100,27081050,0,13889100,0,58282620,20636140,22609430,22024850,0,0,29200340,0,26401300,24982240,44233680,42366460,0,0,43022390,36428930,0,31422500,13573800,19342100,0,0,29201680,39378740,50050780,62698320,0,0,0,0,0,16238160,46336580,34940730,48138230,43136150,0,0,29500100,16329900,0,0,0,0,42797960,42673180
113930,147.017,1353.186173,11195690,5426670,0,3816380,11041300,8169910,9994990,4982420,0,0,0,7530960,8352380,0,22427600,7912270,0,0,4497090,4625330,8713680,5855690,6908050,7928580,20399800,14834300,21384320,17818190,10797400,14402490,8879180,4788560,7335900,10363800,0,0,4294560,3937810,17486170,19900830,7456870,13961590,7952880,2005640,0,6250390,8133350,7860480,15081150,0,18262380,0,4976620,5722200,3812740,9426250,6447860,10893900,18092540,4739480
131393,149.545,423.8371905,3862692,2992797,1290300,6130540,1010790,0,2808200,4751200,3284570,0,65837600,4219690,0,0,94590500,2157035,1382860,0,0,4648864,100258880,4758789,1652584,4421000,35741770,2764720,3949960,1819310,4443434,1359630,1503920,0,2507674,0,0,983623,4219938,2820779,1085780,131034000,1970000,174265235,0,0,0,1456390,185695700,185957430,3930900,2496220,2160990,0,4545919,2583897,1652300,4039960,4209928,0,2122180,2194226
94092,149.026,992.0309789,14117700,58568500,0,9647070,81991900,16086500,0,0,71751300,92382300,270076500,18952700,30935300,0,156890500,48752600,72367600,131444000,23404590,0,133195000,22242800,94931200,191428600,110916000,254531800,11239600,75643400,119496500,80507900,57282200,60080200,137614000,141743000,0,0,57654100,64365700,35862800,57222900,0,28384400,8601300,0,0,112116800,130805300,67559100,68297600,109116400,11944300,0,47932240,0,7132620,4192880,11071900,62327800,29096800,35249200
126538,153.806,286.1644167,215648432,365189300,214207700,209764289,530092236,202146730,215935994,267166420,572363790,394547920,359310398,181625509,464442750,99373137,271210770,313024280,409876880,306455590,180295620,97082328,296067650,228624165,258600647,255143060,273155030,530631608,308038160,303867920,197014712,235079926,27921120,20522910,193607755,240261934,39662194,102845856,66346876,82827936,292743923,216202740,89002873,90933504,25315707,28351556,84515132,252807260,251189630,377198942,182305450,246793329,166938290,172742480,216171753,114662682,88065330,61515011,213860836,321257238,205578302,245495689
2213,154.086,1144.12,11760608,9993429,28474140,17904640,4365200,25459910,26438266,7240730,16031180,17413260,16176077,17859310,21837918,21878730,21819024,14784710,6178680,6225975,22939100,19715520,25884110,18022560,11130860,8086830,8526688,7792056,38277262,15408540,16583312,13906630,17641654,10424027,17757891,7843400,25966420,6104556,19778160,10054520,12546886,4970790,8225910,19351250,21693059,17451380,4947290,25397260,18545389,7622830,15994160,20005790,18603320,10563260,18763030,19647280,16366491,18527520,14066230,6126290,18340072,15806415
437,155.046,858.6898586,18867220,0,33544290,12473490,5958260,10110040,19408430,15175900,17456580,9972451,11920716,47988380,0,14070730,6490180,6550550,15797000,16114430,15099786,23591460,19705750,0,14497520,25671930,5831520,18663550,1463520,6575780,16136894,17008540,7197850,9637157,14320570,31446030,44876880,14601310,9905920,25004495,16706140,930471,4102730,14409019,20959950,25947770,40653956,10333306,1503240,9985458,11744520,4147400,2265209,7224560,9387760,11080680,8325000,13919120,16727040,658079,38908730,15182570
97428,156.946,296.477988,0,8613580,7380820,9637610,19611510,7101690,8447440,57310770,12315700,12743000,11197700,23396420,15980000,0,21011790,24075200,42950770,50166400,9771330,17532300,11254400,51765300,27974900,10997600,29277800,0,0,10395900,0,21461800,0,4214690,9727030,36128300,12961790,0,8034440,33038140,23403700,49679000,0,0,0,0,26860300,12756300,8912730,22624400,11341500,18044900,4654500,20777620,6463840,8023930,29665200,29354510,0,12988000,7559460,0
