name,mz,rt,CTRL-T01_F01,CTRL-T01_F01_2,CTRL-T01_F04,CTRL-T01_F04_2,CTRL-T01_F05,CTRL-T01_F05_2,CTRL-T01_F11,CTRL-T01_F11_2,CTRL-T01_F15,CTRL-T01_F15_2,CTRL-T01_F17,CTRL-T01_F17_2,CTRL-T01_F23,CTRL-T01_F23_2,CTRL-T01_F26,CTRL-T01_F26_2,CTRL-T01_F33,CTRL-T01_F33_2,CTRL-T01_F38,CTRL-T01_F38_2,PRO-T01_F02,PRO-T01_F02_2,PRO-T01_F07,PRO-T01_F07_2,PRO-T01_F08,PRO-T01_F08_2,PRO-T01_F17,PRO-T01_F17_2,PRO-T01_F19,PRO-T01_F19_2,PRO-T01_F20,PRO-T01_F20_2,PRO-T01_F28,PRO-T01_F28_2,PRO-T01_F31,PRO-T01_F31_2,PRO-T01_F35,PRO-T01_F35_2,PRO-T01_F39,PRO-T01_F39_2,SYN-T01_F01,SYN-T01_F01_2,SYN-T01_F02,SYN-T01_F02_2,SYN-T01_F09,SYN-T01_F09_2,SYN-T01_F12,SYN-T01_F12_2,SYN-T01_F17,SYN-T01_F17_2,SYN-T01_F22,SYN-T01_F22_2,SYN-T01_F31,SYN-T01_F31_2,SYN-T01_F33,SYN-T01_F33_2,SYN-T01_F35,SYN-T01_F35_2,SYN-T01_F37,SYN-T01_F37_2
26253,105.947,926.1395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,812260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74284,118.086,1664.506667,0,0,20619000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3788330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9565,126.018,413.856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121946,129.093,950.6358261,4448200,6589170,19405760,7625960,7405250,8418750,2340290,12193280,3574280,0,2170550,13735870,4881630,1312670,0,13160740,0,0,6094750,13779440,1995630,8505600,2416790,3043540,0,0,13949120,7951730,3070660,2113530,0,0,0,0,15205650,10853890,2024420,1818110,1883790,0,12146410,1667490,1369310,10511990,0,1644100,2214370,1779280,6553710,1763950,11723700,33836110,2149680,11071560,7644820,8871854,9344820,2548580,6062980,3115860
81384,131.012,959.0868182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3621510,4355610,8764670,4396120,0,0,0,0,0,0,0,0,0,0,2502520,0,0,0,0,0
28731,131.893,514.7725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6878970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13478600,0,0,0,0,0,0,0,0,0,0,0,0,0
51381,133.084,1183.404148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9151820,0,0,0,0,0,0,0,0,0,0,0,19162200,2679660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117284,134.02,1760.91,0,0,0,0,0,12809100,0,0,15604500,0,0,0,15728400,0,0,0,0,0,0,0,0,6495340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7648840,0,0,0,0,0,0,0,0,0,13603000,14598500,22236700,0,0,10469100,8245530,5061910,0,0,0,58379800,49854500
10270,135.096,985.5485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3918950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146712,136.895,336.5291429,900767,763115,1263560,1031590,3230820,1343280,2250230,836420,1675620,1989050,1701750,1697150,994855,921256,2424110,1847780,2357730,1644540,626720,1043830,1399940,5929190,592283,605452,2411980,1036580,1247050,924411,1322490,817536,632501,1213030,1016430,1129090,956629,2442680,2565350,3060890,3578050,1362530,601861,528313,382109,1770710,1147350,2151760,845446,2646750,2450560,1083090,1864610,924103,1336390,2933320,1634050,1260320,1673310,1707850,448557,751262
